height velocity(m/s) Temperature(K)
270.5 11.0235993851 293.0
271.0 11.0254990238 293.0
271.5 11.0273951609 293.0
272.0 11.0292878093 293.0
272.5 11.0311769818 293.0
273.0 11.0330626913 293.0
273.5 11.0349449503 293.0
274.0 11.0368237714 293.0
274.5 11.0386991672 293.0
275.0 11.0405711502 293.0
275.5 11.0424397328 293.0
276.0 11.0443049272 293.0
276.5 11.0461667458 293.0
277.0 11.0480252008 293.0
277.5 11.0498803042 293.0
278.0 11.0517320682 293.0
278.5 11.0535805047 293.0
279.0 11.0554256258 293.0
279.5 11.0572674431 293.0
280.0 11.0591059687 293.0
280.5 11.0609412142 293.0
281.0 11.0627731912 293.0
281.5 11.0646019115 293.0
282.0 11.0664273866 293.0
282.5 11.0682496279 293.0
283.0 11.070068647 293.0
283.5 11.0718844551 293.0
284.0 11.0736970637 293.0
284.5 11.0755064839 293.0
285.0 11.077312727 293.0
285.5 11.079115804 293.0
286.0 11.0809157262 293.0
286.5 11.0827125044 293.0
287.0 11.0845061497 293.0
287.5 11.0862966729 293.0
288.0 11.088084085 293.0
288.5 11.0898683967 293.0
289.0 11.0916496187 293.0
289.5 11.0934277617 293.0
290.0 11.0952028364 293.0
290.5 11.0969748534 293.0
291.0 11.098743823 293.0
291.5 11.1005097559 293.0
292.0 11.1022726624 293.0
292.5 11.1040325529 293.0
293.0 11.1057894376 293.0
293.5 11.1075433268 293.0
294.0 11.1092942308 293.0
294.5 11.1110421596 293.0
295.0 11.1127871234 293.0
295.5 11.1145291321 293.0
296.0 11.1162681959 293.0
296.5 11.1180043246 293.0
297.0 11.1197375281 293.0
297.5 11.1214678162 293.0
298.0 11.1231951989 293.0
298.5 11.1249196857 293.0
299.0 11.1266412864 293.0
299.5 11.1283600106 293.0
300.0 11.130075868 293.0
300.5 11.131788868 293.0
301.0 11.1334990202 293.0
301.5 11.135206334 293.0
302.0 11.1369108189 293.0
302.5 11.1386124842 293.0
303.0 11.1403113391 293.0
303.5 11.1420073931 293.0
304.0 11.1437006552 293.0
304.5 11.1453911347 293.0
305.0 11.1470788407 293.0
305.5 11.1487637823 293.0
306.0 11.1504459686 293.0
306.5 11.1521254084 293.0
307.0 11.1538021108 293.0
307.5 11.1554760848 293.0
308.0 11.157147339 293.0
308.5 11.1588158825 293.0
309.0 11.1604817239 293.0
309.5 11.162144872 293.0
310.0 11.1638053355 293.0
310.5 11.165463123 293.0
311.0 11.1671182432 293.0
311.5 11.1687707046 293.0
312.0 11.1704205158 293.0
312.5 11.1720676852 293.0
313.0 11.1737122213 293.0
313.5 11.1753541325 293.0
314.0 11.1769934271 293.0
314.5 11.1786301135 293.0
315.0 11.1802642 293.0
315.5 11.1818956948 293.0
316.0 11.1835246061 293.0
316.5 11.1851509422 293.0
317.0 11.186774711 293.0
317.5 11.1883959208 293.0
